diameter,63,-0.095,0.459
few,217,0.043,0.524
gold,90,0.299,0.004
river,60,0.206,0.115
flew,67,0.108,0.382
fire,258,0.09,0.151
deck,66,0.17,0.173
mph,67,0.192,0.12
neighborhood,68,0.142,0.247
helicopter,130,0.131,0.137
pilot,51,-0.016,0.911
multiple,230,-0.104,0.116
foot,55,0.212,0.121
man,423,0.099,0.041
past,49,0.168,0.25
officer,35,-0.018,0.918
single,117,0.184,0.047
nothing,99,-0.03,0.771
beam,141,-0.076,0.373
motionless,115,-0.086,0.363
fall,49,0.264,0.067
instant,33,0.295,0.096
moving,156,0.071,0.376
orb,211,-0.102,0.138
trip,35,0.216,0.212
distance,222,0.127,0.059
new,82,-0.103,0.357
i,1159,0.013,0.66
drive,34,0.345,0.046
li,34,0.037,0.835
point,165,-0.072,0.356
football,105,0.161,0.101
game,36,0.362,0.03
mile,139,-0.026,0.759
clouds,176,0.046,0.548
s,135,-0.016,0.851
flat,65,0.211,0.092
parallel,54,0.013,0.924
glow,176,0.065,0.39
t,133,0.119,0.171
motion,91,0.061,0.569
rectangle,92,0.096,0.364
afternoon,108,0.0,0.999
travel,47,0.153,0.306
upper,34,0.057,0.749
serious,35,0.227,0.19
back,162,0.074,0.348
o,58,-0.044,0.742
sphere,180,0.008,0.914
parking,42,0.064,0.686
cylinder,168,0.08,0.302
course,98,-0.111,0.275
intensity,44,0.098,0.525
porch,90,0.199,0.061
brother,89,-0.041,0.702
store,46,0.084,0.58
orangish,41,-0.054,0.735
plane,384,0.07,0.173
rate,319,-0.011,0.845
stationary,536,0.078,0.07
full,143,0.08,0.339
jet,240,0.175,0.007
fighter,37,0.294,0.078
apartment,45,0.098,0.52
beach,109,0.215,0.025
appearance,43,0.134,0.392
intense,80,0.111,0.328
reddish,95,0.226,0.028
daytime,75,0.132,0.261
unusual,189,0.163,0.025
evening,182,0.043,0.562
place,120,0.071,0.44
shiny,147,0.088,0.289
dome,50,0.214,0.135
amber,112,0.069,0.471
abduction,41,-0.087,0.59
steady,124,0.105,0.247
neon,58,-0.088,0.512
manner,30,0.163,0.388
incredible,89,-0.101,0.346
size,449,-0.004,0.939
morning,284,-0.04,0.503
wife,276,0.174,0.004
hour,178,-0.062,0.415
satellite,150,0.137,0.094
something,324,-0.051,0.357
ufos,34,0.239,0.173
apparent,52,0.134,0.345
center,230,0.056,0.397
disappearing,35,0.6,0.0
first,332,-0.011,0.842
sure,58,0.193,0.147
year,101,-0.06,0.551
location,90,0.032,0.764
erratic,77,0.132,0.251
vertical,92,0.005,0.965
truck,84,0.177,0.108
vehicle,73,0.117,0.324
western,261,0.123,0.047
ring,54,0.317,0.02
split,48,0.163,0.269
half,91,-0.075,0.483
th,83,-0.045,0.689
luminous,94,-0.007,0.946
massive,56,0.284,0.034
starlike,54,0.054,0.7
zag,32,0.096,0.601
separate,38,0.033,0.846
yard,124,0.044,0.626
real,83,-0.064,0.565
downtown,90,0.339,0.001
brilliant,146,-0.011,0.897
person,37,0.077,0.65
tall,31,0.207,0.264
little,136,0.044,0.607
sun,132,0.059,0.503
weird,80,0.155,0.169
engine,40,0.064,0.696
spherical,161,0.14,0.076
son,158,0.158,0.048
movement,136,0.157,0.069
boomerang,104,0.104,0.294
rural,84,0.077,0.488
desert,58,0.12,0.368
dim,138,0.008,0.927
blinking,125,0.144,0.11
last,145,0.023,0.781
lake,109,-0.195,0.042
much,50,0.069,0.634
digital,60,0.067,0.609
various,50,0.285,0.045
date,92,0.192,0.066
exact,38,0.233,0.159
rear,42,0.225,0.151
cone,58,0.073,0.587
briefly,31,0.064,0.732
radio,50,0.154,0.285
range,55,0.314,0.019
hover,92,0.124,0.238
diamond,188,0.02,0.783
dusk,66,0.084,0.505
brief,42,0.059,0.709
floating,32,0.138,0.453
coast,52,0.233,0.097
zig,66,0.114,0.361
cloudy,44,-0.037,0.811
kind,72,0.057,0.632
blimp,34,0.081,0.649
sort,50,0.257,0.071
aura,34,0.251,0.152
short,88,0.1,0.355
treeline,46,-0.104,0.49
one,52,-0.011,0.94
airplane,200,-0.09,0.204
blueish,35,-0.031,0.858
silvery,53,0.139,0.322
number,40,0.328,0.039
story,38,0.133,0.427
comet,72,0.227,0.055
downward,34,0.465,0.006
row,109,0.129,0.18
visible,182,0.015,0.836
woman,118,0.034,0.718
figure,47,0.133,0.372
police,59,0.1,0.453
cylindrical,74,0.122,0.301
exit,30,0.272,0.146
anything,96,0.048,0.643
l,52,0.028,0.844
colored,93,0.244,0.018
gray,93,-0.056,0.596
metal,56,0.142,0.297
young,46,0.028,0.855
sudden,92,0.101,0.34
total,38,0.065,0.698
electrical,30,0.217,0.25
flame,47,0.171,0.251
position,103,0.113,0.256
period,57,0.178,0.186
someone,37,0.387,0.018
change,56,0.108,0.429
airliner,46,0.043,0.777
numerous,30,0.227,0.228
earth,111,0.104,0.275
bed,67,0.278,0.023
information,35,0.059,0.737
many,274,0.149,0.014
trail,290,0.045,0.445
mid,50,0.076,0.601
corner,109,0.266,0.005
door,64,0.408,0.001
height,30,0.263,0.16
building,64,0.273,0.029
series,41,0.16,0.317
father,32,0.141,0.44
quick,64,0.025,0.845
sharp,67,0.07,0.576
mother,82,0.05,0.659
tip,38,-0.117,0.483
flying,57,0.241,0.071
whole,49,0.056,0.702
metalic,59,0.107,0.419
egg,126,0.107,0.234
vision,34,0.172,0.331
meteor,242,0.012,0.851
traffic,65,-0.08,0.527
type,144,-0.095,0.259
picture,126,0.137,0.127
square,77,-0.046,0.693
v,123,-0.006,0.948
redish,32,0.262,0.148
odd,83,-0.068,0.539
shaped,99,0.053,0.602
entire,69,0.16,0.19
next,92,0.045,0.673
good,85,-0.028,0.799
tonight,36,0.277,0.102
length,59,0.001,0.995
aprox,35,0.175,0.316
wide,70,-0.127,0.295
flashing,260,-0.143,0.021
golden,49,-0.031,0.831
distant,57,0.256,0.055
northern,128,-0.016,0.858
disappear,40,0.013,0.936
wind,50,0.341,0.015
like,33,0.395,0.023
southern,158,0.127,0.111
state,46,0.492,0.001
horizontal,86,-0.015,0.894
path,113,0.137,0.147
set,31,0.341,0.06
haze,64,0.413,0.001
quiet,70,0.05,0.679
lite,58,-0.009,0.949
ten,47,0.331,0.023
crazy,33,0.116,0.519
normal,59,0.054,0.685
look,70,-0.152,0.208
open,39,0.326,0.043
call,31,0.155,0.406
beautiful,44,0.006,0.969
alien,58,0.029,0.828
valley,50,-0.065,0.654
yellowish,73,0.002,0.986
southeast,91,0.064,0.548
vapor,55,-0.113,0.411
seen,34,0.145,0.414
form,76,-0.158,0.173
colorful,49,0.005,0.974
duration,51,0.183,0.199
pulsating,43,0.221,0.155
planet,78,-0.041,0.721
hwy,41,0.164,0.307
telescope,66,0.322,0.008
storm,58,0.008,0.954
interstate,30,-0.217,0.25
hot,53,0.034,0.807
show,42,-0.045,0.778
due,133,0.149,0.086
photo,86,0.047,0.665
strobe,90,0.134,0.208
rapid,82,-0.231,0.036
mom,33,0.379,0.03
c,31,0.386,0.032
translucent,46,0.253,0.09
me,40,0.092,0.573
explosion,56,0.168,0.216
debris,38,0.163,0.328
group,81,-0.127,0.26
cigarette,33,0.038,0.836
park,78,-0.096,0.402
brighter,74,-0.004,0.976
smoke,99,0.063,0.537
velocity,36,0.161,0.35
hrs,91,-0.024,0.822
week,42,0.111,0.483
unbelievable,32,0.011,0.952
san,36,0.013,0.94
shower,61,0.037,0.779
pass,100,-0.05,0.618
peculiar,70,-0.07,0.562
fashion,33,0.115,0.525
balloon,57,0.185,0.168
faint,93,0.011,0.917
camera,112,-0.018,0.851
cluster,104,-0.064,0.518
tv,72,-0.166,0.162
sunny,49,-0.096,0.51
freeway,50,-0.171,0.235
discs,34,-0.145,0.414
transparent,65,0.365,0.003
daughter,126,-0.076,0.395
boom,32,0.206,0.257
cloudless,31,0.368,0.042
dramatic,36,0.213,0.213
body,87,0.019,0.865
passenger,32,0.449,0.01
observation,54,0.178,0.197
spot,115,0.056,0.55
southwest,82,-0.071,0.529
northeast,81,0.135,0.229
random,38,0.174,0.296
teardrop,65,-0.183,0.146
streak,259,-0.043,0.495
